ACCOUNT_NUM,OWNERSHIP_GROUP
00000100015500000,CITY OF DALLAS
00000100016000000,CITY OF DALLAS
00000100023000000,CITY OF DALLAS
00000100029000000,CITY OF DALLAS
00000100051000000,CITY OF DALLAS
00000100054000000,CITY OF DALLAS
00000100064000000,CITY OF DALLAS
00000100126000000,CITY OF DALLAS
00000100168000000,DALLAS COUNTY
00000100565000000,CITY OF DALLAS
00000100603000000,CITY OF DALLAS
00000100618000000,CITY OF DALLAS
00000100807100000,CITY OF DALLAS
00000100811000000,CITY OF DALLAS
00000100814000000,CITY OF DALLAS
00000100817000000,CITY OF DALLAS
00000100820000000,CITY OF DALLAS
00000100822000000,CITY OF DALLAS
00000100846000000,CITY OF DALLAS
00000101029000000,CITY OF DALLAS
00000101569000000,CITY OF DALLAS
00000101974009900,CITY OF DALLAS
00000101977000000,CITY OF DALLAS
00000101980000000,CITY OF DALLAS
00000101983000000,CITY OF DALLAS
00000101986000000,CITY OF DALLAS
00000101989000000,CITY OF DALLAS
00000101998000000,CITY OF DALLAS
00000102004000000,CITY OF DALLAS
00000102487000000,CITY OF DALLAS
00000102490000000,CITY OF DALLAS
00000102574000000,CITY OF DALLAS
00000102592000000,CITY OF DALLAS
00000102598000000,CITY OF DALLAS
00000102601000000,CITY OF DALLAS
00000102604000000,CITY OF DALLAS
00000102610000000,CITY OF DALLAS
00000102616000000,CITY OF DALLAS
00000102619000000,CITY OF DALLAS
00000102625000000,CITY OF DALLAS
00000102629000000,CITY OF DALLAS
00000102631000000,CITY OF DALLAS
00000102635000000,CITY OF DALLAS
00000102772000000,CITY OF DALLAS
00000102775000000,CITY OF DALLAS
00000102778000000,CITY OF DALLAS
00000102853000000,CITY OF DALLAS
00000102856500000,CITY OF DALLAS
00000102892000000,CITY OF DALLAS
00000103564000000,CITY OF DALLAS
00000104554000000,DART
00000104597000000,CITY OF DALLAS
00000104602000000,CITY OF DALLAS
00000104995000000,CITY OF DALLAS
00000104998000000,CITY OF DALLAS
00000105198000000,CITY OF DALLAS
00000105481000000,CITY OF DALLAS
00000105484000000,CITY OF DALLAS
00000105556000100,CITY OF DALLAS
00000105592000000,CITY OF DALLAS
00000105607000000,CITY OF DALLAS
00000105616000000,CITY OF DALLAS
00000105628000000,CITY OF DALLAS
00000105634000000,CITY OF DALLAS
00000105646000000,CITY OF DALLAS
00000105757000000,DART
00000105760000000,DART
00000105763000000,DART
00000105766000000,DART
00000105769000000,DART
00000105838000000,DART
00000105841000000,DART
00000105859000000,DART
00000105862000000,DART
00000105997000000,CITY OF DALLAS
00000106033500000,DART
00000106105000000,CITY OF DALLAS
00000106108000000,CITY OF DALLAS
00000106348000000,DART
00000107632000000,CITY OF DALLAS
00000107638000000,CITY OF DALLAS
00000107641000000,CITY OF DALLAS
00000107647000000,CITY OF DALLAS
00000107650000000,CITY OF DALLAS
00000107656000000,CITY OF DALLAS
00000107662000000,CITY OF DALLAS
00000107668000000,CITY OF DALLAS
00000107710500000,CITY OF DALLAS
00000107713500000,CITY OF DALLAS
00000107716500000,CITY OF DALLAS
00000107719500000,CITY OF DALLAS
00000107768500000,CITY OF DALLAS
00000107782500000,CITY OF DALLAS
00000107795000000,CITY OF DALLAS
00000107911000000,CITY OF DALLAS
00000108229500000,CITY OF DALLAS
00000108367000000,CITY OF DALLAS
00000108370500000,CITY OF DALLAS
00000108436000000,CITY OF DALLAS
00000108708000400,DART
00000108916500000,CITY OF DALLAS
00000109147000000,CITY OF DALLAS
00000109158000000,CITY OF DALLAS
00000109179000000,CITY OF DALLAS
00000109186500000,CITY OF DALLAS
00000109186750000,CITY OF DALLAS
00000109534000000,CITY OF DALLAS
00000109540000000,CITY OF DALLAS
00000109623000000,CITY OF DALLAS
00000109702000000,DART
00000109759000000,DART
00000110041000000,CITY OF DALLAS
00000110044000000,CITY OF DALLAS
00000110047000000,CITY OF DALLAS
00000110050000000,CITY OF DALLAS
00000110053000000,CITY OF DALLAS
00000110056000000,CITY OF DALLAS
00000110059000000,CITY OF DALLAS
00000110713000000,CITY OF DALLAS
00000111076000200,DART
00000111223000000,CITY OF DALLAS
00000111424000000,CITY OF DALLAS
00000112360000000,CITY OF DALLAS
00000112363000000,CITY OF DALLAS
00000112381000000,CITY OF DALLAS
00000112384000000,CITY OF DALLAS
00000112387000000,CITY OF DALLAS
00000112393000000,CITY OF DALLAS
00000112396000000,CITY OF DALLAS
00000112399000000,CITY OF DALLAS
00000112402000000,CITY OF DALLAS
00000112405000000,CITY OF DALLAS
00000112408000000,CITY OF DALLAS
00000112411000000,CITY OF DALLAS
00000112414000000,CITY OF DALLAS
00000112417000000,CITY OF DALLAS
